instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,year,workingday_str,time_category
4479,2011-07-10,3,0,7,12,0,0,0,1,0.82,0.7576,0.46,0.2836,133,244,377,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
4480,2011-07-10,3,0,7,13,0,0,0,1,0.8,0.7273,0.46,0.2985,139,228,367,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
4481,2011-07-10,3,0,7,14,0,0,0,1,0.82,0.7424,0.41,0.3284,122,227,349,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
4482,2011-07-10,3,0,7,15,0,0,0,1,0.84,0.7424,0.39,0.2836,142,219,361,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4483,2011-07-10,3,0,7,16,0,0,0,1,0.84,0.7576,0.41,0.2836,128,244,372,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4484,2011-07-10,3,0,7,17,0,0,0,1,0.84,0.7424,0.36,0.2239,146,217,363,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4485,2011-07-10,3,0,7,18,0,0,0,1,0.82,0.7424,0.43,0.2836,141,222,363,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4486,2011-07-10,3,0,7,19,0,0,0,1,0.8,0.7424,0.49,0.3284,120,183,303,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4487,2011-07-10,3,0,7,20,0,0,0,1,0.76,0.697,0.55,0.194,101,167,268,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4488,2011-07-10,3,0,7,21,0,0,0,1,0.74,0.6818,0.62,0.2537,65,162,227,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4489,2011-07-10,3,0,7,22,0,0,0,1,0.74,0.697,0.66,0.2239,56,87,143,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4490,2011-07-10,3,0,7,23,0,0,0,1,0.72,0.6818,0.66,0.2537,19,53,72,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4491,2011-07-11,3,0,7,0,0,1,1,1,0.7,0.6515,0.65,0.194,10,25,35,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4492,2011-07-11,3,0,7,1,0,1,1,1,0.7,0.6515,0.61,0.2836,5,5,10,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4493,2011-07-11,3,0,7,2,0,1,1,1,0.7,0.6515,0.61,0.2239,8,4,12,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4494,2011-07-11,3,0,7,3,0,1,1,1,0.68,0.6364,0.65,0.1642,2,8,10,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4495,2011-07-11,3,0,7,4,0,1,1,1,0.66,0.6212,0.74,0.2239,0,4,4,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4496,2011-07-11,3,0,7,5,0,1,1,1,0.66,0.6212,0.74,0.1343,5,21,26,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4497,2011-07-11,3,0,7,6,0,1,1,1,0.68,0.6364,0.74,0.194,19,102,121,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4498,2011-07-11,3,0,7,7,0,1,1,1,0.7,0.6667,0.74,0.2537,28,289,317,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4499,2011-07-11,3,0,7,8,0,1,1,1,0.74,0.697,0.66,0.2836,35,385,420,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4500,2011-07-11,3,0,7,9,0,1,1,1,0.78,0.7424,0.59,0.2985,41,167,208,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4501,2011-07-11,3,0,7,10,0,1,1,1,0.8,0.7576,0.55,0.3582,44,73,117,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4502,2011-07-11,3,0,7,11,0,1,1,1,0.82,0.7879,0.56,0.2985,39,89,128,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4503,2011-07-11,3,0,7,12,0,1,1,1,0.84,0.803,0.53,0.2836,40,108,148,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4504,2011-07-11,3,0,7,13,0,1,1,1,0.86,0.8182,0.5,0.2537,22,119,141,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4505,2011-07-11,3,0,7,14,0,1,1,1,0.86,0.8333,0.53,0.2836,40,94,134,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4506,2011-07-11,3,0,7,15,0,1,1,1,0.86,0.8485,0.56,0.4179,38,108,146,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4507,2011-07-11,3,0,7,16,0,1,1,1,0.86,0.8485,0.56,0.3881,57,182,239,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4508,2011-07-11,3,0,7,17,0,1,1,1,0.86,0.8485,0.56,0.4179,59,455,514,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4509,2011-07-11,3,0,7,18,0,1,1,1,0.86,0.8333,0.53,0.3881,57,415,472,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4510,2011-07-11,3,0,7,19,0,1,1,1,0.84,0.8333,0.59,0.3284,80,293,373,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4511,2011-07-11,3,0,7,20,0,1,1,1,0.72,0.697,0.74,0.4179,42,194,236,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4512,2011-07-11,3,0,7,21,0,1,1,1,0.7,0.6667,0.79,0.4179,21,109,130,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4513,2011-07-11,3,0,7,22,0,1,1,1,0.72,0.697,0.74,0.1343,20,70,90,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4514,2011-07-11,3,0,7,23,0,1,1,1,0.7,0.6667,0.79,0.1343,11,44,55,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4515,2011-07-12,3,0,7,0,0,2,1,1,0.7,0.6667,0.79,0.1343,3,19,22,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4516,2011-07-12,3,0,7,1,0,2,1,1,0.7,0.6667,0.79,0.0896,6,8,14,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4517,2011-07-12,3,0,7,2,0,2,1,1,0.7,0.6667,0.79,0.1045,2,7,9,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4518,2011-07-12,3,0,7,3,0,2,1,2,0.7,0.6667,0.79,0.0,2,6,8,Fall,Misty/Cloudy,2011,Working Day,Night (20-05)
4519,2011-07-12,3,0,7,4,0,2,1,1,0.7,0.6667,0.79,0.1642,0,6,6,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4520,2011-07-12,3,0,7,5,0,2,1,1,0.7,0.6667,0.79,0.0896,4,21,25,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4521,2011-07-12,3,0,7,6,0,2,1,1,0.74,0.6818,0.58,0.2239,13,102,115,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4522,2011-07-12,3,0,7,7,0,2,1,1,0.76,0.697,0.55,0.194,29,301,330,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4523,2011-07-12,3,0,7,8,0,2,1,1,0.76,0.7121,0.58,0.2239,35,382,417,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4524,2011-07-12,3,0,7,9,0,2,1,1,0.78,0.7273,0.55,0.4925,27,149,176,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4525,2011-07-12,3,0,7,10,0,2,1,1,0.82,0.7727,0.52,0.1642,38,85,123,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4526,2011-07-12,3,0,7,11,0,2,1,1,0.82,0.7727,0.52,0.1642,39,86,125,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4527,2011-07-12,3,0,7,12,0,2,1,1,0.86,0.7879,0.44,0.2985,38,125,163,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4528,2011-07-12,3,0,7,13,0,2,1,1,0.86,0.803,0.47,0.2239,32,104,136,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4529,2011-07-12,3,0,7,14,0,2,1,1,0.9,0.8485,0.42,0.2985,33,91,124,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4530,2011-07-12,3,0,7,15,0,2,1,1,0.9,0.8485,0.42,0.3582,37,111,148,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4531,2011-07-12,3,0,7,16,0,2,1,1,0.86,0.7879,0.44,0.2836,25,177,202,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4532,2011-07-12,3,0,7,17,0,2,1,1,0.88,0.8182,0.44,0.2836,48,380,428,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4533,2011-07-12,3,0,7,18,0,2,1,1,0.86,0.803,0.47,0.2985,39,472,511,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4534,2011-07-12,3,0,7,19,0,2,1,1,0.84,0.7576,0.44,0.2836,42,295,337,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4535,2011-07-12,3,0,7,20,0,2,1,1,0.82,0.7424,0.43,0.194,57,251,308,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4536,2011-07-12,3,0,7,21,0,2,1,1,0.82,0.7424,0.43,0.1045,49,209,258,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4537,2011-07-12,3,0,7,22,0,2,1,1,0.8,0.7273,0.46,0.1343,44,150,194,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4538,2011-07-12,3,0,7,23,0,2,1,1,0.78,0.7121,0.52,0.0,20,59,79,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4539,2011-07-13,3,0,7,0,0,3,1,1,0.76,0.7121,0.62,0.0,9,37,46,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4540,2011-07-13,3,0,7,1,0,3,1,1,0.76,0.697,0.55,0.0,1,11,12,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4541,2011-07-13,3,0,7,2,0,3,1,1,0.76,0.697,0.55,0.0,2,3,5,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4542,2011-07-13,3,0,7,3,0,3,1,1,0.74,0.6818,0.58,0.194,0,4,4,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4543,2011-07-13,3,0,7,4,0,3,1,1,0.74,0.6818,0.58,0.2537,0,5,5,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4544,2011-07-13,3,0,7,5,0,3,1,1,0.74,0.6818,0.58,0.194,4,22,26,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4545,2011-07-13,3,0,7,6,0,3,1,1,0.74,0.6818,0.58,0.1642,18,103,121,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4546,2011-07-13,3,0,7,7,0,3,1,1,0.76,0.697,0.55,0.2537,32,281,313,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4547,2011-07-13,3,0,7,8,0,3,1,1,0.8,0.7424,0.49,0.2537,31,418,449,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4548,2011-07-13,3,0,7,9,0,3,1,1,0.82,0.7424,0.41,0.194,23,163,186,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4549,2011-07-13,3,0,7,10,0,3,1,1,0.82,0.7576,0.46,0.194,33,80,113,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4550,2011-07-13,3,0,7,11,0,3,1,1,0.84,0.7424,0.39,0.1642,55,110,165,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4551,2011-07-13,3,0,7,12,0,3,1,1,0.84,0.7576,0.41,0.2836,40,134,174,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4552,2011-07-13,3,0,7,13,0,3,1,3,0.82,0.7576,0.46,0.1343,39,119,158,Fall,Light Snow/Rain,2011,Working Day,Afternoon (11-15)
4553,2011-07-13,3,0,7,14,0,3,1,3,0.82,0.7576,0.46,0.1343,27,89,116,Fall,Light Snow/Rain,2011,Working Day,Afternoon (11-15)
4554,2011-07-13,3,0,7,15,0,3,1,3,0.64,0.5606,0.94,0.1343,13,33,46,Fall,Light Snow/Rain,2011,Working Day,Evening (15-20)
4555,2011-07-13,3,0,7,16,0,3,1,2,0.66,0.5909,0.89,0.0,23,118,141,Fall,Misty/Cloudy,2011,Working Day,Evening (15-20)
4556,2011-07-13,3,0,7,17,0,3,1,1,0.7,0.6667,0.79,0.0,70,418,488,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4557,2011-07-13,3,0,7,18,0,3,1,1,0.72,0.697,0.79,0.1343,51,412,463,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4558,2011-07-13,3,0,7,19,0,3,1,1,0.7,0.6667,0.79,0.1045,79,340,419,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4559,2011-07-13,3,0,7,20,0,3,1,1,0.7,0.6667,0.84,0.1642,61,281,342,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4560,2011-07-13,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.1045,56,194,250,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4561,2011-07-13,3,0,7,22,0,3,1,1,0.68,0.6364,0.83,0.194,48,136,184,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4562,2011-07-13,3,0,7,23,0,3,1,1,0.66,0.6061,0.83,0.2537,33,83,116,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4563,2011-07-14,3,0,7,0,0,4,1,1,0.66,0.6212,0.69,0.2985,14,32,46,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4564,2011-07-14,3,0,7,1,0,4,1,1,0.66,0.6212,0.61,0.2537,4,21,25,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4565,2011-07-14,3,0,7,2,0,4,1,1,0.64,0.6212,0.57,0.2985,3,7,10,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4566,2011-07-14,3,0,7,3,0,4,1,1,0.62,0.6212,0.57,0.2985,1,5,6,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4567,2011-07-14,3,0,7,4,0,4,1,1,0.62,0.6212,0.53,0.2537,0,6,6,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4568,2011-07-14,3,0,7,5,0,4,1,1,0.6,0.6212,0.56,0.2239,6,22,28,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4569,2011-07-14,3,0,7,6,0,4,1,1,0.6,0.6061,0.6,0.2239,14,116,130,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4570,2011-07-14,3,0,7,7,0,4,1,1,0.62,0.6212,0.53,0.2537,23,311,334,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4571,2011-07-14,3,0,7,8,0,4,1,1,0.64,0.6212,0.5,0.3582,53,433,486,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4572,2011-07-14,3,0,7,9,0,4,1,1,0.68,0.6364,0.47,0.2836,29,195,224,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4573,2011-07-14,3,0,7,10,0,4,1,1,0.7,0.6364,0.42,0.2537,32,95,127,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4574,2011-07-14,3,0,7,11,0,4,1,1,0.72,0.6515,0.37,0.2239,38,110,148,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4575,2011-07-14,3,0,7,12,0,4,1,1,0.74,0.6515,0.35,0.2537,51,172,223,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4576,2011-07-14,3,0,7,13,0,4,1,1,0.76,0.6667,0.33,0.3284,39,138,177,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4577,2011-07-14,3,0,7,14,0,4,1,1,0.74,0.6515,0.35,0.2836,49,129,178,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4578,2011-07-14,3,0,7,15,0,4,1,1,0.76,0.6667,0.33,0.2985,42,138,180,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4579,2011-07-14,3,0,7,16,0,4,1,1,0.76,0.6667,0.33,0.1343,43,231,274,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4580,2011-07-14,3,0,7,17,0,4,1,1,0.74,0.6515,0.37,0.1343,78,517,595,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4581,2011-07-14,3,0,7,18,0,4,1,1,0.72,0.6515,0.42,0.194,94,484,578,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4582,2011-07-14,3,0,7,19,0,4,1,1,0.72,0.6515,0.39,0.2239,67,333,400,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4583,2011-07-14,3,0,7,20,0,4,1,1,0.7,0.6364,0.42,0.2239,81,267,348,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4584,2011-07-14,3,0,7,21,0,4,1,1,0.66,0.6212,0.5,0.1343,58,203,261,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4585,2011-07-14,3,0,7,22,0,4,1,1,0.64,0.6212,0.57,0.0896,42,134,176,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4586,2011-07-14,3,0,7,23,0,4,1,1,0.64,0.6061,0.65,0.2537,27,97,124,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4587,2011-07-15,3,0,7,0,0,5,1,1,0.62,0.5909,0.73,0.2239,23,57,80,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4588,2011-07-15,3,0,7,1,0,5,1,1,0.62,0.5909,0.73,0.194,7,13,20,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4589,2011-07-15,3,0,7,2,0,5,1,1,0.6,0.5758,0.78,0.1642,16,22,38,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4590,2011-07-15,3,0,7,3,0,5,1,1,0.6,0.5909,0.73,0.194,1,6,7,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4591,2011-07-15,3,0,7,4,0,5,1,1,0.6,0.5909,0.73,0.1642,2,8,10,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4592,2011-07-15,3,0,7,5,0,5,1,1,0.6,0.5909,0.73,0.1343,7,16,23,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4593,2011-07-15,3,0,7,6,0,5,1,2,0.6,0.5909,0.73,0.1045,12,108,120,Fall,Misty/Cloudy,2011,Working Day,Morning (05-11)
4594,2011-07-15,3,0,7,7,0,5,1,1,0.64,0.6061,0.65,0.1045,17,257,274,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4595,2011-07-15,3,0,7,8,0,5,1,1,0.64,0.6061,0.65,0.2537,50,514,564,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4596,2011-07-15,3,0,7,9,0,5,1,1,0.68,0.6364,0.54,0.194,31,176,207,Fall,Clear/Partly Cloudy,2011,Working Day,Morning (05-11)
4597,2011-07-15,3,0,7,10,0,5,1,2,0.66,0.6212,0.61,0.1642,59,107,166,Fall,Misty/Cloudy,2011,Working Day,Morning (05-11)
4598,2011-07-15,3,0,7,11,0,5,1,1,0.7,0.6515,0.54,0.1343,73,137,210,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4599,2011-07-15,3,0,7,12,0,5,1,1,0.7,0.6515,0.48,0.194,61,177,238,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4600,2011-07-15,3,0,7,13,0,5,1,1,0.7,0.6515,0.54,0.194,85,162,247,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4601,2011-07-15,3,0,7,14,0,5,1,1,0.7,0.6515,0.51,0.194,105,160,265,Fall,Clear/Partly Cloudy,2011,Working Day,Afternoon (11-15)
4602,2011-07-15,3,0,7,15,0,5,1,1,0.72,0.6515,0.45,0.1642,74,163,237,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4603,2011-07-15,3,0,7,16,0,5,1,1,0.72,0.6667,0.51,0.194,96,265,361,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4604,2011-07-15,3,0,7,17,0,5,1,1,0.74,0.6667,0.42,0.2537,104,483,587,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4605,2011-07-15,3,0,7,18,0,5,1,1,0.72,0.6515,0.45,0.2239,102,394,496,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4606,2011-07-15,3,0,7,19,0,5,1,1,0.7,0.6364,0.45,0.2239,114,280,394,Fall,Clear/Partly Cloudy,2011,Working Day,Evening (15-20)
4607,2011-07-15,3,0,7,20,0,5,1,1,0.7,0.6515,0.51,0.2239,92,251,343,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4608,2011-07-15,3,0,7,21,0,5,1,1,0.66,0.6212,0.54,0.1045,75,186,261,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4609,2011-07-15,3,0,7,22,0,5,1,1,0.66,0.6212,0.57,0.2239,71,152,223,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4610,2011-07-15,3,0,7,23,0,5,1,1,0.64,0.6212,0.61,0.1642,41,126,167,Fall,Clear/Partly Cloudy,2011,Working Day,Night (20-05)
4611,2011-07-16,3,0,7,0,0,6,0,1,0.62,0.6061,0.65,0.194,42,68,110,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4612,2011-07-16,3,0,7,1,0,6,0,1,0.6,0.5909,0.69,0.1045,24,51,75,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4613,2011-07-16,3,0,7,2,0,6,0,1,0.6,0.5909,0.73,0.1343,10,48,58,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4614,2011-07-16,3,0,7,3,0,6,0,1,0.6,0.5758,0.78,0.1343,6,20,26,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4615,2011-07-16,3,0,7,4,0,6,0,1,0.6,0.5909,0.73,0.0896,9,7,16,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4616,2011-07-16,3,0,7,5,0,6,0,1,0.58,0.5455,0.78,0.0896,4,6,10,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
4617,2011-07-16,3,0,7,6,0,6,0,1,0.6,0.5758,0.78,0.1642,16,21,37,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
4618,2011-07-16,3,0,7,7,0,6,0,1,0.62,0.5909,0.73,0.1343,14,38,52,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
4619,2011-07-16,3,0,7,8,0,6,0,1,0.66,0.6212,0.65,0.1642,37,90,127,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
4620,2011-07-16,3,0,7,9,0,6,0,1,0.7,0.6515,0.54,0.2239,72,150,222,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
4621,2011-07-16,3,0,7,10,0,6,0,1,0.72,0.6667,0.54,0.194,114,208,322,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
4622,2011-07-16,3,0,7,11,0,6,0,1,0.74,0.6667,0.48,0.2239,171,225,396,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
4623,2011-07-16,3,0,7,12,0,6,0,1,0.76,0.6818,0.43,0.2836,187,276,463,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
4624,2011-07-16,3,0,7,13,0,6,0,1,0.76,0.6818,0.45,0.2985,221,276,497,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
4625,2011-07-16,3,0,7,14,0,6,0,1,0.74,0.6667,0.45,0.2985,201,232,433,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
4626,2011-07-16,3,0,7,15,0,6,0,1,0.76,0.6818,0.45,0.3284,205,223,428,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4627,2011-07-16,3,0,7,16,0,6,0,1,0.76,0.6818,0.45,0.2836,183,242,425,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4628,2011-07-16,3,0,7,17,0,6,0,1,0.76,0.6818,0.45,0.2239,234,241,475,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4629,2011-07-16,3,0,7,18,0,6,0,1,0.76,0.6818,0.45,0.2836,185,243,428,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4630,2011-07-16,3,0,7,19,0,6,0,1,0.74,0.6818,0.48,0.194,164,242,406,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Evening (15-20)
4631,2011-07-16,3,0,7,20,0,6,0,1,0.72,0.6667,0.51,0.2239,108,188,296,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4632,2011-07-16,3,0,7,21,0,6,0,1,0.7,0.6515,0.58,0.2239,85,167,252,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4633,2011-07-16,3,0,7,22,0,6,0,1,0.7,0.6515,0.65,0.2836,65,136,201,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4634,2011-07-16,3,0,7,23,0,6,0,1,0.68,0.6364,0.61,0.2239,61,107,168,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4635,2011-07-17,3,0,7,0,0,0,0,1,0.66,0.6212,0.65,0.2239,34,91,125,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4636,2011-07-17,3,0,7,1,0,0,0,1,0.64,0.6061,0.69,0.194,16,86,102,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4637,2011-07-17,3,0,7,2,0,0,0,1,0.64,0.6061,0.69,0.2239,28,66,94,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4638,2011-07-17,3,0,7,3,0,0,0,1,0.64,0.6061,0.69,0.2239,21,26,47,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4639,2011-07-17,3,0,7,4,0,0,0,1,0.62,0.5909,0.73,0.1642,4,6,10,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4640,2011-07-17,3,0,7,5,0,0,0,1,0.64,0.6061,0.69,0.2239,4,8,12,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
4641,2011-07-17,3,0,7,6,0,0,0,1,0.62,0.5909,0.73,0.1642,10,11,21,Fall,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
